model_id,train_game,train_opponent,seed,mean_cooperation,mean_normalized_reward
0,prisoners-dilemma,0.1,35934,0.0,0.43748571428571426
10,prisoners-dilemma,0.5,40036,0.0,0.4596857142857143
12,prisoners-dilemma,0.5,40042,0.0,0.4596857142857143
14,prisoners-dilemma,0.5,40103,0.0,0.4596857142857143
15,prisoners-dilemma,0.7,40110,0.0,0.47132857142857143
16,prisoners-dilemma,0.7,40118,0.0,0.47132857142857143
17,prisoners-dilemma,0.7,40121,0.0,0.47132857142857143
18,prisoners-dilemma,0.7,40130,0.0,0.47132857142857143
20,prisoners-dilemma,0.9,40148,0.0,0.4831
21,prisoners-dilemma,0.9,40152,0.0,0.4831
23,prisoners-dilemma,0.9,40204,0.0,0.4831
25,hawk-dove,0.1,40219,0.0,0.4290285714285714
26,hawk-dove,0.1,40228,0.0,0.4290285714285714
28,hawk-dove,0.1,40237,0.0,0.4290285714285714
29,hawk-dove,0.1,40255,0.0,0.4290285714285714
2,prisoners-dilemma,0.1,35933,0.0,0.43748571428571426
30,hawk-dove,0.3,40256,0.0,0.45108571428571426
31,hawk-dove,0.3,40302,0.0,0.45108571428571426
32,hawk-dove,0.3,40307,0.0,0.45108571428571426
33,hawk-dove,0.3,40316,0.0,0.45108571428571426
34,hawk-dove,0.3,40331,0.0,0.45108571428571426
36,hawk-dove,0.5,40336,0.0,0.47342857142857137
37,hawk-dove,0.5,40350,0.0,0.47342857142857137
38,hawk-dove,0.5,40355,0.0,0.47342857142857137
39,hawk-dove,0.5,40401,0.0,0.47342857142857137
3,prisoners-dilemma,0.1,35931,0.0,0.43748571428571426
40,hawk-dove,0.7,40407,1.0,0.34661071428571427
41,hawk-dove,0.7,40411,1.0,0.34661071428571427
45,hawk-dove,0.9,40443,1.0,0.3554392857142857
46,hawk-dove,0.9,40452,1.0,0.3554392857142857
47,hawk-dove,0.9,40458,1.0,0.3554392857142857
48,hawk-dove,0.9,40510,1.0,0.3554392857142857
49,hawk-dove,0.9,40513,1.0,0.3554392857142857
4,prisoners-dilemma,0.1,35952,0.0,0.43748571428571426
50,stag-hunt,0.1,40520,1.0,0.30839999999999995
51,stag-hunt,0.1,40524,1.0,0.30839999999999995
52,stag-hunt,0.1,40534,1.0,0.30839999999999995
53,stag-hunt,0.1,40542,1.0,0.30839999999999995
54,stag-hunt,0.1,40549,1.0,0.30839999999999995
55,stag-hunt,0.3,40557,1.0,0.3194285714285714
59,stag-hunt,0.3,40626,0.9999821428571429,0.3194214285714286
60,stag-hunt,0.5,40626,0.4855357142857143,0.40500714285714284
61,stag-hunt,0.5,40647,0.9081964285714287,0.3434464285714286
63,stag-hunt,0.5,40655,0.513875,0.40095714285714273
64,stag-hunt,0.5,40706,0.4971428571428572,0.40349642857142864
65,stag-hunt,0.7,40710,0.0,0.47451428571428567
66,stag-hunt,0.7,40720,0.0,0.47451428571428567
67,stag-hunt,0.7,40723,0.0,0.47451428571428567
68,stag-hunt,0.7,40731,0.0,0.47451428571428567
69,stag-hunt,0.7,40740,0.0,0.47451428571428567
6,prisoners-dilemma,0.3,40003,0.0,0.44851428571428575
70,stag-hunt,0.9,40748,0.0,0.47451428571428567
71,stag-hunt,0.9,40752,0.0,0.4745142857142858
8,prisoners-dilemma,0.3,40014,0.0,0.44851428571428575
72,stag-hunt,0.9,40757,0.0,0.47451428571428567
73,stag-hunt,0.9,40805,0.0,0.47451428571428567
74,stag-hunt,0.9,40814,0.0,0.47451428571428567
