train_game,train_opponent,coop_mean,coop_sem,ratio_mean,ratio_sem
hawk-dove,0.1,0.0,0.0,,
hawk-dove,0.3,0.0,0.0,,
hawk-dove,0.5,0.0,0.0,,
hawk-dove,0.7,1.0,0.0,,
hawk-dove,0.9,1.0,0.0,,
prisoners-dilemma,0.1,0.0,0.0,,
prisoners-dilemma,0.3,0.0,0.0,,
prisoners-dilemma,0.5,0.0,0.0,,
prisoners-dilemma,0.7,0.0,0.0,,
prisoners-dilemma,0.9,0.0,0.0,,
stag-hunt,0.1,1.0,0.0,,
stag-hunt,0.3,0.9999910714285715,8.92857142853476e-06,,
stag-hunt,0.5,0.6011875,0.10250145451203771,,
stag-hunt,0.7,0.0,0.0,,
stag-hunt,0.9,0.0,0.0,,
