model_id,train_game,seed,final_training_reward,mean_non_training_reward,performance_ratio
0,prisoners-dilemma,0,3332.0,2.024,0.0006074429771908763
6,hawk-dove,1,2756.0,1.9691000000000003,0.0007144775036284471
7,hawk-dove,2,2582.0,2.0792,0.0008052672347017816
8,hawk-dove,3,2634.0,1.9947499999999998,0.000757308276385725
9,hawk-dove,4,2675.0,2.0522500000000004,0.0007671962616822431
10,stag-hunt,0,2774.0,1.7202500000000005,0.0006201333813987024
1,prisoners-dilemma,1,3336.0,2.024,0.0006067146282973621
11,stag-hunt,1,2808.0,1.75515,0.0006250534188034188
12,stag-hunt,2,2748.0,2.5360000000000005,0.0009228529839883554
13,stag-hunt,3,2776.0,2.5360000000000005,0.0009135446685878964
14,stag-hunt,4,2786.0,2.5360000000000005,0.0009102656137832019
2,prisoners-dilemma,2,3280.0,2.024,0.0006170731707317073
3,prisoners-dilemma,3,3268.0,2.024,0.0006193390452876377
4,prisoners-dilemma,4,3296.0,2.024,0.0006140776699029126
5,hawk-dove,0,2657.0,2.0460000000000003,0.000770041400075273
